url,clicks,impressions,ctr,position,title,title_len,suggested_title,meta_description,meta_len,suggested_meta,content_recommendations,h1,h2s,word_count,images_missing_alt,canonical,flags,error
https://evidentscientific.com/en/life-science-microscopes/software,176,16621,1.06,18.34,Microscope Software | Evident | Olympus,39,,Evident Scientific microscope imaging software and confluency checker software allow you to discover more. Find out more here.,126,,,Microscope Software,"Microscope Software, Microscope Software Resource Videos, cellSens Software Deep Learning: Preparing Training Data, Macro to Micro Imaging, Related Applications",717,6,https://evidentscientific.com/en/life-science-microscopes/software,OK,
https://evidentscientific.com/en/clinical-microscopes/slide-scanners,151,19469,0.78,18.92,Digital Pathology Slide Scanners | Evident | Olympus,52,Slide Scanners for Digital Pathology | Evident Scientific,"Explore our comprehensive portfolio of digital pathology slide scanners with automation, AI-ready workflows, and renowned optics.",129,"Discover Evident slide scanners with high-throughput automation, AI-ready workflows, and Olympus optics. Compare models to find your ideal solution.","['Add a side-by-side comparison table of all slide scanner models with key specs (scan speed, capacity, resolution, supported slide types, AI compatibility) so users can quickly evaluate options without leaving the page.', 'Create a dedicated section on whole slide imaging (WSI) with technical details—this is a high-volume related query that users searching for slide scanners expect to see addressed, and it can capture additional long-tail traffic.', 'Add customer case studies or application spotlights showing real-world digital pathology workflows (e.g., frozen section scanning, IHC quantification, telepathology) to demonstrate practical value and increase dwell time.', ""Include a 'How to Choose a Slide Scanner' buyer's guide section addressing throughput needs, integration with LIS/LIMS, regulatory considerations (FDA clearance, CE-IVD), and total cost of ownership—this matches informational intent and builds topical authority."", ""Optimize the FAQ section with structured data markup and expand it to cover high-impression queries like 'what is a digital pathology slide scanner,' 'slide scanner vs. microscope,' and 'AI in digital pathology,' which can earn featured snippets and improve CTR from SERPs.""]",Digital Pathology Slide Scanners,"Supported Systems, Digital Pathology Slide Scanner Applications, Which EVIDENT Slide Scanner Is Right for You?, Digital Pathology Slide Scanner Resources, Digital Pathology Slide Scanner FAQs, Explore Related Solutions",1272,10,https://evidentscientific.com/en/clinical-microscopes/slide-scanners,Low CTR,
https://evidentscientific.com/en/clinical-microscopes/inverted,10,4383,0.23,26.77,Clinical Inverted Microscopes | Evident | Olympus,49,,Explore Clinical Inverted Microscopes from Evident Scientific such as the CX53 and the SpinSR today.,100,,,Clinical Inverted Microscopes,"Clinical Inverted Microscopes, Related Applications, Clinical Inverted Microscope FAQs, Clinical Inverted Microscope Resource Videos",859,7,https://evidentscientific.com/en/clinical-microscopes/inverted,OK,
https://evidentscientific.com/en/digital-cameras,284,27671,1.03,18.88,Microscope Digital Cameras | Olympus,36,Microscope Digital Cameras | Evident Scientific,Explore color and monochrome microscope digital cameras designed for a range of observation methods and applications today.,123,"Discover high-resolution color and monochrome microscope cameras for fluorescence, live cell, and routine imaging. Compare models to find your ideal fit.","['Add detailed comparison table of all available camera models showing key specs: sensor type, resolution, frame rate, cooling, sensitivity, and compatible observation methods (brightfield, fluorescence, confocal, etc.)', ""Create dedicated sections for camera categories (e.g., 'High-Sensitivity Cameras for Fluorescence,' 'High-Speed Cameras for Live Cell Imaging,' 'Routine Documentation Cameras') with use-case descriptions and sample images captured by each model"", 'Include a camera selection guide or interactive tool that helps users choose based on their application, microscope compatibility, and budget requirements', 'Add application-focused content blocks with real sample images showing output quality across different microscopy techniques — this directly addresses what researchers evaluate when comparing cameras', ""Include a section on software integration, explaining how each camera works with Evident's cellSens or PRECiV imaging software, including supported features like stitching, deconvolution, and live measurement""]",Digital Cameras,,127,0,https://evidentscientific.com/en/digital-cameras,Thin Content,
https://evidentscientific.com/en/digital-cameras/color,87,12909,0.67,19.76,Color Cameras for Digital Microscopes | Evident | Olympus,57,Digital Microscope Color Cameras | Evident Scientific,Expand your vision in life sciences with the leading-edge digital microscope color camera range from Evident Scientific. Find out more here.,140,"Explore Evident's digital microscope color cameras for life science imaging. Compare models, specs, and find the right camera for your application.","['Add a comparison table of all color camera models with key specs (resolution, sensor type, frame rate, cooling, interface) so users can quickly evaluate options without clicking into each product page.', ""Create a 'How to Choose a Digital Microscope Color Camera' guide section that helps users match camera specs to common applications (fluorescence, brightfield, pathology, live cell imaging), as this targets informational queries driving the high impressions."", 'Include sample images captured with each camera model across different specimen types and magnifications — users searching for color cameras want to see real output quality before committing.', 'Add a section addressing CCD vs. CMOS sensor technology for microscopy color cameras, explaining trade-offs in sensitivity, speed, and noise — this is a high-intent informational topic that competitors rank for.', 'Incorporate structured data (Product schema) for each camera listed on the page to improve rich snippet eligibility in search results and boost CTR from the SERP.']",Color Cameras for Digital Microscopes,"Digital Microscope Color Cameras, Digital Microscope Camera FAQs, Digital Microscope Color Camera Resources",1513,7,https://evidentscientific.com/en/digital-cameras/color,Low CTR,
https://evidentscientific.com/en/life-science-microscopes/super-resolution,49,15532,0.32,11.8,Super Resolution Microscopes | Evident | Olympus,48,Super Resolution Microscopes | Evident Scientific,"To reveal greater detail inside your samples with clearer and sharper images, browse our range of super resolution microscopes. Find yours today.",145,Explore super resolution microscope systems that break the diffraction limit for nanoscale imaging. Compare our solutions and find the right fit for your lab.,"['Add a technical comparison table of super resolution techniques (STED, SIM, PALM/STORM, SMLM) with resolution limits, speed, and ideal applications so researchers can quickly evaluate which approach fits their work.', ""Include a section explaining how Evident's super resolution systems compare to confocal and widefield microscopy, with sample images showing the resolution difference — this addresses a common search intent for users evaluating whether they need super resolution."", 'Add real-world application examples with images from specific fields (neuroscience, cell biology, virology) showing what structures and phenomena can be resolved, which builds topical authority and matches long-tail queries.', ""Create an interactive or static buyer's guide section that helps users choose between super resolution platforms based on criteria like live-cell compatibility, multicolor capability, throughput, and budget — this improves dwell time and addresses decision-stage intent."", ""Add structured FAQ schema markup to the existing FAQ section and expand it with questions researchers actually search, such as 'What is the resolution limit of super resolution microscopy?' and 'Super resolution vs confocal — which is better?' to capture featured snippets and People Also Ask placements.""]",Super-Resolution Microscopes,"Super-Resolution Microscope Systems, Super-Resolution Microscopy Resources, Super-Resolution Microscopy FAQs",575,4,https://evidentscientific.com/en/life-science-microscopes/super-resolution,Low CTR,
https://evidentscientific.com/en/life-science-microscopes/stereo,497,84008,0.59,11.55,Stereo Dissecting Microscopes | Olympus,39,Stereo Dissecting Microscopes | Evident Scientific,"The Evident Scientific life science stereo microscopes range enables precise 3D observation, digital imaging, and analysis with high optical quality, and sample dissection with comfortable operation in combination with a variety of ergonomic accessories. Find out more here.",274,Explore stereo microscopes for precise 3D observation and dissection. High optical quality with ergonomic design. View the full range.,"['Add a comparison table of stereo vs. micro zoom microscope models with key specs (magnification range, working distance, optical system type) to help users quickly evaluate options and reduce bounce rate.', 'Create a dedicated section explaining when to choose a stereo microscope vs. a compound microscope, targeting informational queries and capturing top-of-funnel traffic that currently bypasses this page.', ""Include real-world application spotlights with images — e.g., entomology dissection, botanical sample prep, quality inspection — showing the microscopes in use, which improves dwell time and targets long-tail queries like 'best microscope for dissection.'"", ""Add a 'How to Choose a Stereo Microscope' buyer's guide section covering key decision factors (zoom range, illumination type, camera compatibility, ergonomic accessories) to match search intent for users in the research phase."", ""Remove the outdated 'Olympus' branding still present in the title tag and audit all on-page references for brand consistency with Evident Scientific, as mixed branding can confuse both users and search engines.""]",Stereo Dissecting Microscopes and Micro Zoom Microscopes,"Stereo Microscope, Related Applications, Stereo Microscope FAQs, Stereo Microscope Resources",1012,8,https://evidentscientific.com/en/life-science-microscopes/stereo,Meta Issue | Low CTR,
https://evidentscientific.com/en/life-science-microscopes/spinning-disk-confocal,127,12192,1.04,9.59,Spinning Disk Confocal Microscopes | Evident | Olympus,54,,Explore Life Science Inverted Microscopes from Evident Scientific such as the CX53 and the SpinSR today.,104,,,Spinning Disk Confocal Microscopes,"Spinning Disk Confocal Solutions, Applications of Spinning Disk Confocal Microscopes, Spinning Disk Confocal Resources, Frequently Asked Questions About Spinning Disk Confocal Microscopy, Related Solutions",1923,0,https://evidentscientific.com/en/life-science-microscopes/spinning-disk-confocal,OK,
https://evidentscientific.com/en/life-science-microscopes/inverted,369,62827,0.59,9.13,Inverted Microscopes | Olympus,30,Inverted Microscopes for Life Science | Evident Scientific,Explore Life Science Inverted Microscopes from Evident Scientific such as the CX53 and the SpinSR today.,104,"Discover Evident Scientific inverted microscopes designed for live cell imaging, fluorescence, and advanced research. Explore the IXplore series today.","['Add a comparison table between the IXplore models (IXplore Standard, Spin, SpinSR, TIRF, Live) showing key specs like imaging modalities, resolution, and ideal applications so users can quickly identify the right system for their needs.', 'Remove the incorrect reference to CX53 in the meta description and page content — the CX53 is an upright microscope, not inverted. Audit all product references for accuracy.', ""Add a dedicated section explaining when and why to choose an inverted microscope over an upright one, targeting common informational queries like 'inverted vs upright microscope' which likely drive a significant share of the 62K impressions."", 'Include a concise technical specifications summary for each inverted microscope model on the page (objective options, stage compatibility, camera integration, contrast methods like phase contrast and DIC) to satisfy researchers comparing products.', 'Add use-case spotlights with images — e.g., live cell time-lapse imaging, stem cell research, IVF applications, wound healing assays — to demonstrate real-world relevance and capture long-tail queries from researchers in specific disciplines.']",Inverted Microscopes,"IXplore Inverted Microscope System, Additional Inverted Microscopes, Related Applications, Life Science Inverted Microscope FAQs, Inverted Microscope Resource Videos",1812,16,https://evidentscientific.com/en/life-science-microscopes/inverted,Low CTR,
https://evidentscientific.com/en/material-science-microscopes/digital-cameras,75,13979,0.54,19.7,Digital Cameras for Industrial and Material Science | Evident | Olympus,71,Digital Cameras for Microscopes | Evident Scientific,These digital cameras for Industrial and Material science are exclusively designed by Evident Scientific. Gain access to the best digital imaging performance with Evident cameras and software.,192,Explore Evident Scientific's digital microscope cameras for material science and industrial imaging. Compare models to find the right fit. Browse cameras now.,"['Add a comparison table across all camera models (DP75, LC35, DP28, DP23, DP23M) highlighting resolution, frame rate, sensor type, color depth, and connectivity so users can quickly evaluate options without clicking into each product page.', ""Create a 'How to Choose the Right Microscope Camera' section that guides visitors based on their application (metallography, quality inspection, failure analysis, etc.) — this targets mid-funnel informational queries and improves dwell time."", ""Expand the FAQ section to address high-search-volume questions like 'What resolution do I need for material science imaging?', 'Can I use a digital camera with third-party microscopes?', and 'What is the difference between CCD and CMOS microscope cameras?' to capture featured snippet opportunities."", 'Add real-world sample images captured with each camera model across different material science applications (grain structure, coatings, welds, composites) to demonstrate imaging quality and help users visualize output before purchasing.', ""Include a dedicated section on software integration, specifically explaining how each camera works with Evident's PRECiV and cellSens software for measurement, reporting, and image stitching — this differentiates from competitors and addresses a key buyer concern.""]",Digital Cameras for Industrial and Material Science,"Digital Cameras for Microscopes, DP75 Digital Camera for Microscopes, LC35 Digital Camera for Microscopes, DP28, DP23, DP23M, Related Applications, Digital Camera for Microscope FAQs, Software for Digital Cameras",839,12,https://evidentscientific.com/en/material-science-microscopes/digital-cameras,Title Issue | Meta Issue | Low CTR,
